,zone,room,bathroom,floor,t_floors,area,area_unit,area_type,furnishing,facing,power_backup,available_from,contact,rent
0,North Delhi,3,2,3,,1400.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Immediately,Contact Agent,"₹ 52,000"
1,South Delhi,2,2,02nd floor,04,900.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,No Back-up,Immediately,Contact Agent,"₹ 50,000"
2,South Delhi,3,3,Second Floor  With lift,4rd Floor,1800.0,Sq.Ft.,Built-up Area,Unfurnished,East,Available,Immediately,Contact Agent,"₹ 60,000"
3,Dwarka,3,3,5,10,1700.0,Sq.Ft.,Carpet Area,Semi-Furnished,North East,Available,,Contact Agent,"₹ 70,000"
4,North Delhi,3,2,3,4,1300.0,Sq.Ft.,Built-up Area,Furnished,East,Available,Later,Contact Agent,"₹ 54,000"
5,South Delhi,3,2,1,3,1600.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,"₹ 75,000"
6,West Delhi,3,2,1,4,160.0,Sq.Yd.,Built-up Area,Furnished,,,,Contact Agent,"₹ 50,000"
7,North Delhi,2,2,3,3,1050.0,Sq.Ft.,Carpet Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 35,000"
8,Central Delhi,2,2,3,,801.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 40,000"
9,South Delhi,3,4,2,4,2230.0,Sq.Ft.,Built-up Area,Furnished,North East,,,Contact Agent,"₹ 40,000"
10,South Delhi,1 Rk,1,3,3,200.0,Sq.Ft.,Built-up Area,Furnished,South East,,Immediately,Contact Owner,"₹ 22,000"
11,North Delhi,2.5,2,2,4,1000.0,Sq.Ft.,Built-up Area,Furnished,,,Immediately,Contact Agent,"₹ 40,000"
12,South Delhi,1.5,2,5,5,400.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,No Back-up,Immediately,Contact Agent,"₹ 40,000"
13,East Delhi,2,,2,3,1000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,No Back-up,Immediately,Contact Agent,"₹ 27,000"
14,East Delhi,3,3,8,9,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,East,,Immediately,Contact Agent,"₹ 48,000"
15,East Delhi,3,3,1,7,1900.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 45,000"
16,East Delhi,1 Rk,1,5,7,300.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 12,000"
17,South Delhi,1,1,2,5,450.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 15,000"
18,Dwarka,3,3,5,12,2000.0,Sq.Ft.,Built-up Area,Semi-Furnished,West,,Immediately,Contact Agent,"₹ 50,000"
19,South Delhi,3,3,1,3,2000.0,Sq.Ft.,Built-up Area,Furnished,North,No Back-up,Immediately,Contact Agent,₹ 1.2 L
20,South Delhi,1,1,2,4,700.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,Available,Immediately,Contact Agent,"₹ 35,000"
21,South Delhi,1,1,4,4,350.0,Sq.Ft.,Built-up Area,Furnished,South West,,Immediately,Contact Agent,"₹ 22,000"
22,South Delhi,2,2,Ground,4,900.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 45,000"
23,West Delhi,2,2,,4,800.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Owner,"₹ 18,523"
24,East Delhi,3,2,4,7,1600.0,Sq.Ft.,Built-up Area,Semi-Furnished,North East,Available,Immediately,Contact Agent,"₹ 48,000"
25,South Delhi,2,2,Ground,4,900.0,Sq.Ft.,Built-up Area,Furnished,East,,Immediately,Contact Agent,"₹ 45,000"
26,South Delhi,2,1,2,3,600.0,Sq.Ft.,Built-up Area,Semi-Furnished,South,Available,,Contact Agent,"₹ 13,000"
27,West Delhi,2,2,,4,800.0,Sq.Ft.,Built-up Area,Unfurnished,,No Back-up,Immediately,Contact Owner,"₹ 18,523"
